,disposets,number_occurrences,average_days_occurrences,std_days_occurrences,batch_means,maxim_service_disposet,sds-psg_x,coefficient_variation,disposet_classification,probability_disposet,prob_superdisposet,lambda_rate,kmin,kmax,stock
654,ZBH49Y,93.0,22.150537634408604,93.593820196932,-6.688172043010753,898.0,V04,4.225352076851784,overdispersion,0.0612244897959183,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,stock model accepted
655,I0L5DA,31.0,64.58064516129032,160.50166649052764,-1.5483870967741935,903.0,V04,2.485290540063116,overdispersion,0.0204081632653061,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
656,I0HXHP,11.0,170.54545454545453,250.25441599954385,-1.0,903.0,V04,1.4673766396561738,overdispersion,0.0072416063199473,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
657,I0L5GU,40.0,53.675,143.63207760785443,-1.925,903.0,V04,2.6759585953955183,overdispersion,0.0263331138907175,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
658,R8PKVY,24.0,89.04166666666667,193.910889253323,-1.0,904.0,V04,2.1777544885726496,overdispersion,0.0157998683344305,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
659,BPT8Q2,41.0,52.8780487804878,142.79219080922303,-1.146341463414634,908.0,V04,2.7004058224991443,overdispersion,0.0269914417379855,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
660,I0L5FW,42.0,51.023809523809526,143.30923209844423,-1.261904761904762,911.0,V04,2.8086737042158925,overdispersion,0.0276497695852534,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
661,I0L5D9,15.0,144.4,236.5042433929192,-1.6,916.0,V04,1.6378410207265872,overdispersion,0.009874917709019,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
662,DAYAQ1,26.0,79.42307692307692,179.30536480025867,-1.9615384615384612,916.0,V04,2.257597813465727,overdispersion,0.0171165240289664,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
663,DAZ187,39.0,54.82051282051282,146.34707696627288,-1.1025641025641026,918.0,V04,2.669567821180843,overdispersion,0.0256747860434496,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
